MY SKU,SG SKU,Quantity,Discount Code,Brand,Category,Net Price (SGD),Net Price (MYR),Item Tax (SGD),Item Tax (MYR),Shipping Country,Order #,Quantity Ready
,600052945BLU00M,1,EDM20,COMME des GARCONS PLAY,TEES,121.27,131000.0,9.7,10480.0,South Korea,#C21-107641,0
,600059103GRY00S,1,EDM20,COMME des GARCONS PLAY,CARDIGANS,316.48,341868.0,25.32,27350.0,South Korea,#C21-107641,0
,300045432RED-MM,1,DROP40,inBetweeners,TEES,80.33,265.0,0.0,0.0,Malaysia,#C21-107642,0
,600062024BLK00L,1,DROP40,COMME des GARCONS HOMME PLUS,SHORTS,327.67,1081.0,19.66,64.86,Malaysia,#C21-107642,1
,600074553RED0OS,1,HELLO15,STAND OIL,SHOULDER BAGS,183.49,183.49,14.04,14.04,Singapore,#C21-107643,0
,600069959BLK001,1,NEW20,sacai,TEES,602.12,3672.8,0.0,0.0,Hong Kong,#C21-107644,1
,100302986GRY009,1,NEW15,COMME des GARCONS PLAY CONVERSE,SNEAKERS,201.83,201.83,0.0,0.0,Singapore,#C21-107645,0
,600071513DNM00M,1,NEW15,rag & bone,JEANS,266.06,266.06,20.35,20.35,Singapore,#C21-107645,1
,600067652BLK0OS,1,HELLO15,Mardi Mercredi,TEES,55.05,55.05,4.21,4.21,Singapore,#C21-107646,0
,600067698OWT0OS,1,HELLO15,Mardi Mercredi,TEES,58.72,58.72,4.49,4.49,Singapore,#C21-107646,0
,300044805NVY-SS,1,,Sporty & Rich,TANK TOPS,121.92,121.92,0.0,0.0,Singapore,#C21-107647,0
,300044791NVY-SS,1,,Sporty & Rich,PANTS,127.4,127.4,0.0,0.0,Singapore,#C21-107647,0
,600066043WHT00M,1,DROP40,POST ARCHIVE FACTION,BLOUSON,402.47,2455.0,0.0,0.0,Hong Kong,#C21-107648,0
,600063657BRN0OS,1,,JACQUEMUS,HANDBAGS,1406.29,1406.29,118.26,118.26,Qatar,FF-179601111,1
,600072968KHA048,1,GREET20,C.P. Company,PANTS,449.54,449.54,32.37,32.37,Singapore,#C21-107650,1
,600045087OTH0OS,1,NEW15,COMME des GARCONS PARFUMS,PERFUMES,100.92,100.92,7.72,7.72,Singapore,#C21-107651,1
,600063277PUR00M,1,DROP40,AMI,SHORTS,252.3,252.3,0.0,0.0,Singapore,#C21-107652,0
,600067652BLK0OS,1,HELLO15,Mardi Mercredi,TEES,56.37,186.0,0.0,0.0,Malaysia,#C21-107653,0
,600062236PUR003,1,SAVE50,PLEATS PLEASE ISSEY MIYAKE,PLEATED TOPS,195.41,195.41,0.0,0.0,Singapore,#C21-107654,0
,300046631GRB-MM,1,DROP40,Pop Trading Company,TEES,67.13,67.13,0.0,0.0,Singapore,#C21-107655,0
,600050229PUR00M,1,EDM20,COMME des GARCONS PLAY,TEES,118.2,390.0,0.0,0.0,Malaysia,#C21-107656,1
,600064139BLK0XS,1,,Simone Rocha,TEES,544.84,544.84,0.0,0.0,Hong Kong,FF-179602621,1
,600052956WHT00S,1,,COMME des GARCONS PLAY,TEES,83.29,90000.0,0.0,0.0,South Korea,#C21-107658,0
,300040443WHT-SS,1,,COMME des GARCONS PLAY,TEES,92.55,100000.0,0.0,0.0,South Korea,#C21-107658,0
,600060378GRN008,1,,ALEMAIS,PANTS,472.66,472.66,32.27,32.27,United States,FF-179603105,1
,600067180BLK00M,1,DROP40,Alexander Wang,KNIT TOPS,285.48,1600.0,22.27,124.8,China,#C21-107660,1
,600063823DNM00L,1,DROP40,Alexander Wang,WOVEN TOPS,416.44,2334.0,32.48,182.05,China,#C21-107660,1
,600067155IND00S,1,DROP40,Alexander Wang,JEANS,416.44,2334.0,32.48,182.05,China,#C21-107660,1
,600067155IND00M,1,DROP40,Alexander Wang,JEANS,416.44,2334.0,32.48,182.05,China,#C21-107660,1
,300048093BLU-LL,1,NEW15,HUMAN MADE,TEES,220.14,171.83,0.0,0.0,United States,#C21-107661,0
,600061293BLK001,1,,HOMME PLISSE ISSEY MIYAKE,PLEATED PANTS,277.98,277.98,0.0,0.0,Singapore,#C21-107662,0
,600063507BLU00M,1,,Rick Owens,TEES,202.42,158.0,0.0,0.0,United States,#C21-107663,1
,600064596BLU044,1,,Jil Sander,SHIRTS,791.76,618.0,0.0,0.0,United States,#C21-107663,1
,600059883GRYXXS,1,,Fear of God ESSENTIALS,TEES,158.99,158.99,14.47,14.47,United States,FF-179603957,1
,600063111BLK042,1,,AMIRI,SNEAKERS,630.99,630.99,28.94,28.94,United States,FF-179605510,1
,600043459LGY000,1,,PLEATS PLEASE ISSEY MIYAKE,KNIT TOPS,247.25,247.25,22.25,22.25,Singapore,#C21-107666,1
,600066832STR00L,1,,ALEMAIS,TEES,137.62,137.62,12.39,12.39,Singapore,#C21-107666,1
,600068879BLK045,1,NEW20,AMIRI,SNEAKERS,1029.58,2929.0,0.0,0.0,Qatar,#C21-107667,1
,600066913BLU020,1,,ZIMMERMANN,WOVEN DRESSES,635.63,496.0,0.0,0.0,United States,#C21-107668,0
,600067079WHT00S,1,EOSREV10,Alexander Wang,BLOUSES,401.12,313.0,0.0,0.0,United States,#C21-107669,1
,600066610IND044,1,,Maison Margiela,SNEAKERS,686.99,686.99,53.79,53.79,United States,FF-179609190,1
,600074553RED0OS,1,NEW15,STAND OIL,SHOULDER BAGS,183.49,183.49,14.04,14.04,Singapore,#C21-107671,1
,600070521BLU0OS,1,NEW15,Rest&Recreation,TANK TOPS,93.62,73.0,0.0,0.0,United States,#C21-107672,1
,600065406YEL010,1,,Self-Portrait,WOVEN DRESSES,405.66,405.66,24.66,24.66,United States,FF-179609672,1
,600067771WHT0XL,1,,MSGM,TANK TOPS,182.66,182.66,11.28,11.28,United States,FF-179609804,1
,600050689WHT0OS,1,HELLO15,Mardi Mercredi,TEES,78.88,260.0,0.0,0.0,Malaysia,#C21-107675,1
,600069904PUR00M,1,,Dries Van Noten,SWEATSHIRTS,1021.0,796.0,0.0,0.0,United States,#C21-107676,1
,600066796GRY00L,1,,Fear of God,SHIRTS,613.11,478.0,0.0,0.0,United States,#C21-107677,1
,600063249WHT0OS,1,NEW15,JW PEI,TOP HANDLE,137.61,137.61,0.0,0.0,Singapore,#C21-107678,1
,600061868YEL002,1,,ISSEY MIYAKE,PLEATED TOPS,294.5,294.5,0.0,0.0,Singapore,#C21-107679,0
,600063201BLK0OS,2,DROP40,AMIRI,HATS,295.19,230.0,0.0,0.0,United States,#C21-107680,2
,600028538IND030,1,DROP40,AMIRI,JEANS,857.33,668.0,0.0,0.0,United States,#C21-107680,1
,600064368RED00S,1,DROP40,Marine Serre,LOGO TEES,183.53,143.0,0.0,0.0,United States,#C21-107680,1
,600063971BLK0OS,1,,CFCL,PANTS,947.26,947.26,102.75,102.75,United States,FF-179610791,1
,600062087PNK000,1,BB15,BAO BAO ISSEY MIYAKE,CROSS BODY,206.42,206.42,15.79,15.79,Singapore,#C21-107682,0
,600062086PNK000,1,BB15,BAO BAO ISSEY MIYAKE,TOTES,294.5,294.5,0.0,0.0,Singapore,#C21-107682,0
,Giftbox25,1,,Club21.com,,15.4,12.0,0.0,0.0,United States,#C21-107683,1
,600061103MRN0OS,1,,Mulberry,MEDIUM TOP HANDLE,1491.12,1162.0,0.0,0.0,United States,#C21-107683,1
,300045910GRY-SS,1,DROP40,Represent,PANTS,181.68,595.0,0.0,0.0,Malaysia,#C21-107684,0
,600059832BLK00L,1,DROP40,Blackjack,TEES,73.4,73.4,0.0,0.0,Singapore,#C21-107685,0
,600067219BLU00L,1,,rag & bone,TANK TOPS,90.96,90.96,86.04,86.04,United States,FF-179611661,1
,600067678WHT0OS,1,NEW15,Mardi Mercredi,TEES,56.16,184.0,0.0,0.0,Malaysia,#C21-107687,1
,600072171BLU0OS,3,NEW20,AMI,HATS,275.23,275.23,59.45,59.45,Singapore,#C21-107688,3
,600050225WHT00S,1,,COMME des GARCONS PLAY,TEES,72.39,72.39,14.48,14.48,United Kingdom,FF-179612419,1
,600059868NVY0XL,1,,Fear of God ESSENTIALS,TEES,59.64,59.64,5.37,5.37,Singapore,#C21-107690,1
,300045580WHT-NS,1,NEW15,Mardi Mercredi,TEES,88.41,88.41,0.0,0.0,Singapore,#C21-107691,1
,600067271BLK0OS,1,,thisisneverthat,SHOULDER BAGS,100.92,100.92,9.08,9.08,Singapore,#C21-107692,1
,300048102WHT-LL,1,HELLO15,HUMAN MADE,TEES,210.37,210.37,0.0,0.0,Singapore,#C21-107693,1
,600066003BLK00L,1,HELLO15,HUMAN MADE,TEES,174.31,174.31,13.34,13.34,Singapore,#C21-107693,1
,600063255BLK0OS,1,TOY60,BE@RBRICK,NOVELTY,778.9,778.9,28.04,28.04,Singapore,#C21-107694,1
,300048043WHT-MM,1,HELLO15,rag & bone,TEES,149.39,149.39,0.0,0.0,Singapore,#C21-107695,1
,600062150BLK002,1,,PLEATS PLEASE ISSEY MIYAKE,PLEATED DRESSES,556.82,1824.0,55.68,182.4,Malaysia,#C21-107696,1
,600064528WHT0XL,1,NEW20,Jil Sander,TEES,614.68,614.68,44.26,44.26,Singapore,#C21-107697,1
,600062094BLK000,1,,BAO BAO ISSEY MIYAKE,MINI BAGS,294.5,294.5,26.51,26.51,Singapore,#C21-107698,1
,600056093BLU000,1,,BAO BAO ISSEY MIYAKE,CROSS BODY,371.56,371.56,33.44,33.44,Singapore,#C21-107698,1
,600067651BLK0OS,1,SHOP15,Mardi Mercredi,TEES,56.17,184.0,0.0,0.0,Malaysia,#C21-107699,1
,600072188BRN0OS,1,SHOP15,AMI,CROSS BODY,684.72,4170.56,0.0,0.0,Hong Kong,#C21-107700,1
,600065936ORG0OS,1,SHOP15,HUMAN MADE,CROSS BODY,126.55,770.82,0.0,0.0,Hong Kong,#C21-107700,1
,600069239LGN000,1,,HOMME PLISSE ISSEY MIYAKE,PLEATED SHORTS,371.56,371.56,0.0,0.0,Singapore,#C21-107701,0
